android.support.annotation.AnimRes;androidx.annotation.AnimRes;AndroidX.Annotations.IAnimRes
android.support.annotation.AnimRes;androidx.annotation.AnimRes;AndroidX.Annotations.IAnimResInvoker
android.support.annotation.AnimatorRes;androidx.annotation.AnimatorRes;AndroidX.Annotations.IAnimatorRes
android.support.annotation.AnimatorRes;androidx.annotation.AnimatorRes;AndroidX.Annotations.IAnimatorResInvoker
android.support.annotation.AnyRes;androidx.annotation.AnyRes;AndroidX.Annotations.IAnyRes
android.support.annotation.AnyRes;androidx.annotation.AnyRes;AndroidX.Annotations.IAnyResInvoker
android.support.annotation.AnyThread;androidx.annotation.AnyThread;AndroidX.Annotations.IAnyThread
android.support.annotation.AnyThread;androidx.annotation.AnyThread;AndroidX.Annotations.IAnyThreadInvoker
android.support.annotation.ArrayRes;androidx.annotation.ArrayRes;AndroidX.Annotations.IArrayRes
android.support.annotation.ArrayRes;androidx.annotation.ArrayRes;AndroidX.Annotations.IArrayResInvoker
android.support.annotation.AttrRes;androidx.annotation.AttrRes;AndroidX.Annotations.IAttrRes
android.support.annotation.AttrRes;androidx.annotation.AttrRes;AndroidX.Annotations.IAttrResInvoker
android.support.annotation.BinderThread;androidx.annotation.BinderThread;AndroidX.Annotations.IBinderThread
android.support.annotation.BinderThread;androidx.annotation.BinderThread;AndroidX.Annotations.IBinderThreadInvoker
android.support.annotation.BoolRes;androidx.annotation.BoolRes;AndroidX.Annotations.IBoolRes
android.support.annotation.BoolRes;androidx.annotation.BoolRes;AndroidX.Annotations.IBoolResInvoker
android.support.annotation.CallSuper;androidx.annotation.CallSuper;AndroidX.Annotations.ICallSuper
android.support.annotation.CallSuper;androidx.annotation.CallSuper;AndroidX.Annotations.ICallSuperInvoker
android.support.annotation.CheckResult;androidx.annotation.CheckResult;AndroidX.Annotations.ICheckResult
android.support.annotation.CheckResult;androidx.annotation.CheckResult;AndroidX.Annotations.ICheckResultInvoker
android.support.annotation.ColorInt;androidx.annotation.ColorInt;AndroidX.Annotations.IColorInt
android.support.annotation.ColorInt;androidx.annotation.ColorInt;AndroidX.Annotations.IColorIntInvoker
android.support.annotation.ColorLong;androidx.annotation.ColorLong;AndroidX.Annotations.IColorLong
android.support.annotation.ColorLong;androidx.annotation.ColorLong;AndroidX.Annotations.IColorLongInvoker
android.support.annotation.ColorRes;androidx.annotation.ColorRes;AndroidX.Annotations.IColorRes
android.support.annotation.ColorRes;androidx.annotation.ColorRes;AndroidX.Annotations.IColorResInvoker
android.support.annotation.DimenRes;androidx.annotation.DimenRes;AndroidX.Annotations.IDimenRes
